=== START CHECK: 04/07/2026, 22.15.09 ===
Fetching all series from Supabase...
✅ MATCH: "Mobile Suit Gundam: The Witch from Mercury" matches "Mobile Suit Gundam: The Witch from Mercury"
✅ MATCH: "Memorist" matches "Memorist"
✅ MATCH: "Find Me in Your Memory" matches "Find Me in Your Memory"
✅ MATCH: "Love Is Blind" matches "Love Is Blind"
✅ MATCH: "The English" matches "The English"
✅ MATCH: "Guardians of the Ancient Oath" matches "Guardians of the Ancient Oath"
✅ MATCH: "The Thaw" matches "The Thaw"
✅ MATCH: "A Piece of Your Mind" matches "A Piece of Your Mind"
✅ MATCH: "Bottom-Tier Character Tomozaki" matches "Bottom-Tier Character Tomozaki"
✅ MATCH: "I've Been Killing Slimes for 300 Years and Maxed Out My Level" matches "I've Been Killing Slimes for 300 Years and Maxed Out My Level"
✅ MATCH: "Redo of Healer" matches "Redo of Healer"
✅ MATCH: "Start-Up" matches "Start-Up"
✅ MATCH: "PIECES OF HER" matches "PIECES OF HER"
✅ MATCH: "Uzaki-chan Wants to Hang Out!" matches "Uzaki-chan Wants to Hang Out!"
✅ MATCH: "Schmigadoon!" matches "Schmigadoon!"
✅ MATCH: "Engage Kiss" matches "Engage Kiss"
✅ MATCH: "Omniscient" matches "Omniscient"
✅ MATCH: "The Ghost Bride" matches "The Ghost Bride"
✅ MATCH: "Gentefied" matches "Gentefied"
✅ MATCH: "Cruel Summer" matches "Cruel Summer"
✅ MATCH: "Central Park" matches "Central Park"
✅ MATCH: "The Irregulars" matches "The Irregulars"
✅ MATCH: "Amazing Stories" matches "Amazing Stories"
✅ MATCH: "Trying" matches "Trying"
✅ MATCH: "Home Before Dark" matches "Home Before Dark"
✅ MATCH: "Handsome Siblings" matches "Handsome Siblings"
✅ MATCH: "Narco-Saints" matches "Narco-Saints"
✅ MATCH: "XX" matches "XX"
✅ MATCH: "Mayor of Kingstown" matches "Mayor of Kingstown"
✅ MATCH: "An Incurable Case of Love" matches "An Incurable Case of Love"
✅ MATCH: "Night on Earth" matches "Night on Earth"
✅ MATCH: "Rugal" matches "Rugal"
✅ MATCH: "The 7 Lives of Lea" matches "The 7 Lives of Lea"
✅ MATCH: "Summer Strike" matches "Summer Strike"
✅ MATCH: "Strong Girl Nam-soon" matches "Strong Girl Nam-soon"
✅ MATCH: "Inside Job" matches "Inside Job"
✅ MATCH: "Off the Record" matches "Off the Record"
✅ MATCH: "Solar Opposites" matches "Solar Opposites"
✅ MATCH: "The Misfit of Demon King Academy" matches "The Misfit of Demon King Academy"
✅ MATCH: "Until Dawn" matches "Until Dawn"
✅ MATCH: "Ted Lasso" matches "Ted Lasso"
✅ MATCH: "To Your Eternity" matches "To Your Eternity"
✅ MATCH: "The Cursed" matches "The Cursed"
✅ MATCH: "By the Grace of the Gods" matches "By the Grace of the Gods"
✅ MATCH: "Too Hot to Handle" matches "Too Hot to Handle"
✅ MATCH: "Disney Gallery / Star Wars: The Mandalorian" matches "Disney Gallery / Star Wars: The Mandalorian"
✅ MATCH: "Valeria" matches "Valeria"
✅ MATCH: "Shine On! Bakumatsu Bad Boys!" matches "Shine On! Bakumatsu Bad Boys!"
✅ MATCH: "Get Millie Black" matches "Get Millie Black"
✅ MATCH: "Do You Like Brahms?" matches "Do You Like Brahms?"
✅ MATCH: "Absurd Planet" matches "Absurd Planet"
✅ MATCH: "The Victims' Game" matches "The Victims' Game"
✅ MATCH: "Higurashi: When They Cry - NEW" matches "Higurashi: When They Cry - NEW"
✅ MATCH: "My Unfamiliar Family" matches "My Unfamiliar Family"
✅ MATCH: "Idoly Pride" matches "Idoly Pride"
✅ MATCH: "Love 101" matches "Love 101"
✅ MATCH: "Never Have I Ever" matches "Never Have I Ever"
✅ MATCH: "J-Style Trip" matches "J-Style Trip"
✅ MATCH: "Soulmates" matches "Soulmates"
✅ MATCH: "Outer Banks" matches "Outer Banks"
✅ MATCH: "She" matches "She"
✅ MATCH: "Tiger King" matches "Tiger King"
✅ MATCH: "Transformers: War for Cybertron: Siege" matches "Transformers: War for Cybertron: Siege"
✅ MATCH: "When My Love Blooms" matches "When My Love Blooms"
✅ MATCH: "Transatlantic" matches "Transatlantic"
✅ MATCH: "Until The Cherry Blossom Falls" matches "Until The Cherry Blossom Falls"
✅ MATCH: "Akudama Drive" matches "Akudama Drive"
✅ MATCH: "Suspicion" matches "Suspicion"
✅ MATCH: "The Baby-Sitters Club" matches "The Baby-Sitters Club"
✅ MATCH: "Girls5eva" matches "Girls5eva"
✅ MATCH: "Mulligan" matches "Mulligan"
✅ MATCH: "Sexify" matches "Sexify"
✅ MATCH: "The Last of Us" matches "The Last of Us"
✅ MATCH: "Otherside Picnic" matches "Otherside Picnic"
✅ MATCH: "Biohackers" matches "Biohackers"
✅ MATCH: "The English Game" matches "The English Game"
✅ MATCH: "TONIKAWA: Over the Moon for You" matches "TONIKAWA: Over the Moon for You"
✅ MATCH: "The Wolf" matches "The Wolf"
✅ MATCH: "The Underclass" matches "The Underclass"
✅ MATCH: "Pantheon" matches "Pantheon"
✅ MATCH: "All of Us Are Dead" matches "All of Us Are Dead"
✅ MATCH: "Alex Rider" matches "Alex Rider"
✅ MATCH: "Vampire in the Garden" matches "Vampire in the Garden"
✅ MATCH: "Dragon's Dogma" matches "Dragon's Dogma"
✅ MATCH: "Conversations with Friends" matches "Conversations with Friends"
✅ MATCH: "The Winter King" matches "The Winter King"
✅ MATCH: "The Chair" matches "The Chair"
✅ MATCH: "Unorthodox" matches "Unorthodox"
✅ MATCH: "Search" matches "Search"
✅ MATCH: "Legend of Exorcism" matches "Legend of Exorcism"
✅ MATCH: "DON'T TOY WITH ME, MISS NAGATORO" matches "DON'T TOY WITH ME, MISS NAGATORO"
✅ MATCH: "The Girls on the Bus" matches "The Girls on the Bus"
✅ MATCH: "The Dungeon of Black Company" matches "The Dungeon of Black Company"
✅ MATCH: "Down to Earth with Zac Efron" matches "Down to Earth with Zac Efron"
✅ MATCH: "Cyberpunk: Edgerunners" matches "Cyberpunk: Edgerunners"
✅ MATCH: "Dark Desire" matches "Dark Desire"

Done. Cleaned 1 corrupted series.
